code	name
0	MA211
1	MA221
2	MA222
3	MA223
4	MA224
5	MA225
6	MA232
7	MA241
8	MA251
9	MA252
10	MA253
11	N11
12	N12
13	N13
14	N14
15	N15
16	N16
17	N17
18	N18
19	N19
20	N1A
21	N1B
22	N1C
23	N1D
24	N1E
25	N1F
26	N1G
27	N1H
28	N1J
29	N21
30	N22
31	N31
32	N32
33	N33
34	N34
35	N35
37	Pa
38	Pb
39	Pc
40	Pd
41	Pe
42	Pf
43	Pg
44	Ph
45	Pi
46	Pj
47	Q11
48	Q12
49	Q21
50	Q22
51	Q23
52	Q24
53	Q25
54	Q41
55	Q42
56	Q43
57	Q44
58	Q45
59	Q46
60	Q51
61	Q52
62	Q53
63	Q54
64	Q61
65	Q62
66	Q63
67	R11
68	R12
69	R13
70	R14
71	R15
72	R16
73	R17
74	R18
75	R19
76	R1A
77	R1B
78	R1C
79	R1D
80	R1E
81	R1F
82	R1G
83	R1H
84	R1J
85	R1K
86	R1L
87	R1M
88	R1N
89	R1P
90	R1Q
91	R1R
92	R1S
93	R21
94	R22
95	R23
96	R24
97	R31
98	R32
99	R33
100	R34
101	R35
102	R36
103	R37
104	R41
105	R42
106	R43
107	R44
108	R45
109	R51
110	R52
111	R53
112	R54
113	R55
114	R56
115	R57
116	R61
117	R62
118	R63
119	R64
120	R65
121	S11
122	S12
123	S21
124	S22
125	S23
126	S24
127	S25
128	S26
129	S31
130	S32
131	S33
132	S34
133	S35
134	S36
135	S37
136	S38
137	S41
138	S42
139	S43
140	S51
141	S52
142	S53
143	S54
144	S61
145	S62
146	S63
147	S64
148	S65
149	S66
150	S67
151	S68
152	S71
153	S72
154	S73
155	S74
156	S75
157	S76
158	S81
159	S82
160	S91
161	S92
162	S93
163	S94
165	T11
166	T12
167	T13
168	T14
169	T15
170	T16
171	T17
172	T18
173	T19
174	T1A
175	T1B
176	T1C
177	T1D
178	T1E
179	T1F
180	T1G
181	T1H
182	T21
183	T22
184	T23
185	T24
186	T25
187	T26
188	T27
189	T28
190	T29
191	T31
192	T32
193	T33
194	T34
195	T35
196	T36
197	T37
198	T38
199	T39
200	T3A
201	T3B
202	T3C
203	T3D
204	T3E
205	T3F
206	T3G
207	T3H
208	T3J
209	T3K
210	T3M
211	U21
212	U22
213	U23
214	U24
215	U25
216	U26
217	U27
218	U28
219	U29
220	U2A
221	U32
222	U33
223	U34
224	U35
225	U36
226	U37
227	U38
228	U3A
229	U3B
230	U3C
231	U3D
232	U52
233	U61
234	U62
235	U71
236	U72
238	V11
239	V12
240	V13
241	V14
242	V15
243	V32
244	V33
245	V34
246	V35
247	V37
248	V38
249	V39
237	URBAN
164	SEA
36	NODATA
