endpoint,metric_column,model,reference_model,fold_ids,n,df,model_mean,reference_mean,mean_paired_difference,percentage_difference_vs_reference,ci95_lower,ci95_upper,t_statistic,p_value_raw,p_value_holm,reject_holm,alpha
interp,interp_nrmse_percent,MuScaRi_ClimateDEM_Area,MuScaRi_Area,0;1;2;3;4,5,4,17.682373562113977,59.905031122875755,-42.22265756076179,-70.48265691433444,-43.709728223736946,-40.73558689778663,-78.83209173024882,1.551934183099406e-07,1.2415473464795247e-06,True,0.05
interp,interp_nrmse_percent,MuScaRi_ClimateDEM_Area,MuScaRi_ClimateDEM,0;1;2;3;4,5,4,17.682373562113977,18.166342579941357,-0.48396901782738055,-2.6640971659411634,-1.0387131470870195,0.07077511143225834,-2.4222219573689463,0.07258844651275001,0.14517689302550002,False,0.05
interp,interp_nrmse_percent,MuScaRi_ClimateDEM_Area,FFNN_ClimateDEM_Area,0;1;2;3;4,5,4,17.682373562113977,17.593736680238287,0.08863688187568926,0.5037979338138462,-0.7907259713526881,0.9679997351040667,0.279856530123225,0.7934633706233121,0.7934633706233121,False,0.05
interp,interp_nrmse_percent,MuScaRi_ClimateDEM_Area,Linear_ClimateDEM_Area,0;1;2;3;4,5,4,17.682373562113977,57.48855680439988,-39.8061832422859,-69.24192474986489,-40.81689704588213,-38.795469438689665,-109.34814803796041,4.194337940462397e-08,4.1943379404623973e-07,True,0.05
interp,interp_nrmse_percent,MuScaRi_Area,MuScaRi_ClimateDEM,0;1;2;3;4,5,4,59.905031122875755,18.166342579941357,41.73868854293441,229.75834766553848,40.16532135086796,43.31205573500086,73.65424809081132,2.0362286197013708e-07,1.4253600337909595e-06,True,0.05
interp,interp_nrmse_percent,MuScaRi_Area,FFNN_ClimateDEM_Area,0;1;2;3;4,5,4,59.905031122875755,17.593736680238287,42.311294442637475,240.49066557965796,40.60380343895628,44.018785446318674,68.79976884011569,2.674187836007134e-07,1.4253600337909595e-06,True,0.05
interp,interp_nrmse_percent,MuScaRi_Area,Linear_ClimateDEM_Area,0;1;2;3;4,5,4,59.905031122875755,57.48855680439988,2.4164743184758906,4.203400559693553,1.7374477478859658,3.095500889065815,9.880627038702967,0.0005887399904286127,0.002354959961714451,True,0.05
interp,interp_nrmse_percent,MuScaRi_ClimateDEM,FFNN_ClimateDEM_Area,0;1;2;3;4,5,4,18.166342579941357,17.593736680238287,0.5726058997030699,3.2546008281812853,0.1049916612219765,1.0402201381841631,3.3998298524912136,0.02728160146324881,0.08184480438974642,False,0.05
interp,interp_nrmse_percent,MuScaRi_ClimateDEM,Linear_ClimateDEM_Area,0;1;2;3;4,5,4,18.166342579941357,57.48855680439988,-39.32221422445851,-68.40007196258055,-40.614468130918986,-38.02996031799804,-84.4849210075702,1.1766001938016063e-07,1.0589401744214457e-06,True,0.05
interp,interp_nrmse_percent,FFNN_ClimateDEM_Area,Linear_ClimateDEM_Area,0;1;2;3;4,5,4,17.593736680238287,57.48855680439988,-39.89482012416158,-69.39610653281913,-41.455932650630196,-38.33370759769297,-70.9531031097659,2.3642357733357373e-07,1.4253600337909595e-06,True,0.05
extrap,extrap_nrmse_percent,MuScaRi_ClimateDEM_Area,MuScaRi_Area,0;1;2;3;4,5,4,34.58669901137847,51.7280558879289,-17.141356876550436,-33.13744656031136,-21.289195751651555,-12.993518001449317,-11.473935663710364,0.00032932400258609104,0.0019759440155165463,True,0.05
