dataset_id,gift_dataset_id,model_name,model_label,config_hash,fold,area_bin,bin_left_km2,bin_right_km2,area_center_km2,n_samples,mean_sr,rmse,relative_rmse,relative_rmse_percent
ceacce0,da569da,MuScaRi_Area,Area only,ac733d9bd2f6,0,0,34.88949903172141,389.58643402739835,147.27817355026383,36,719.3611111111111,255.8111672229613,0.3556088357735107,35.56088357735107
ceacce0,da569da,MuScaRi_Area,Area only,ac733d9bd2f6,0,1,393.71516676538124,5044.166239992103,1245.4932965571754,35,1077.3428571428572,501.8459190226768,0.46581820791348266,46.581820791348264
ceacce0,da569da,MuScaRi_Area,Area only,ac733d9bd2f6,0,2,5592.307825066546,19810.215511983595,11336.636571217578,36,1902.888888888889,890.9824286779947,0.46822619748347255,46.82261974834726
ceacce0,da569da,MuScaRi_Area,Area only,ac733d9bd2f6,0,3,20016.084736488418,65890.03662361103,32819.46493671878,35,1832.0,823.0500748276355,0.44926314128146044,44.926314128146046
ceacce0,da569da,MuScaRi_Area,Area only,ac733d9bd2f6,0,4,69619.01628614723,782531.9648156572,207420.5103674639,36,2297.8888888888887,1072.4860731417314,0.46672668914828025,46.67266891482802
ceacce0,da569da,MuScaRi_Area,Area only,ac733d9bd2f6,1,0,34.88949903172141,389.58643402739835,147.27817355026383,36,719.3611111111111,260.79296446268603,0.36253414374856924,36.25341437485692
ceacce0,da569da,MuScaRi_Area,Area only,ac733d9bd2f6,1,1,393.71516676538124,5044.166239992103,1245.4932965571754,35,1077.3428571428572,531.3148420831526,0.4931715456787955,49.31715456787955
ceacce0,da569da,MuScaRi_Area,Area only,ac733d9bd2f6,1,2,5592.307825066546,19810.215511983595,11336.636571217578,36,1902.888888888889,932.9032042009026,0.4902562675352168,49.02562675352168
ceacce0,da569da,MuScaRi_Area,Area only,ac733d9bd2f6,1,3,20016.084736488418,65890.03662361103,32819.46493671878,35,1832.0,839.6606871871468,0.45833006942529847,45.83300694252985
ceacce0,da569da,MuScaRi_Area,Area only,ac733d9bd2f6,1,4,69619.01628614723,782531.9648156572,207420.5103674639,36,2297.8888888888887,1218.086017358879,0.5300891715211988,53.00891715211988
ceacce0,da569da,MuScaRi_Area,Area only,ac733d9bd2f6,2,0,34.88949903172141,389.58643402739835,147.27817355026383,36,719.3611111111111,259.5995051134327,0.36087508916413397,36.0875089164134
ceacce0,da569da,MuScaRi_Area,Area only,ac733d9bd2f6,2,1,393.71516676538124,5044.166239992103,1245.4932965571754,35,1077.3428571428572,514.8222613489502,0.4778629736445025,47.78629736445025
ceacce0,da569da,MuScaRi_Area,Area only,ac733d9bd2f6,2,2,5592.307825066546,19810.215511983595,11336.636571217578,36,1902.888888888889,946.6886372063788,0.49750074359788676,49.75007435978868
ceacce0,da569da,MuScaRi_Area,Area only,ac733d9bd2f6,2,3,20016.084736488418,65890.03662361103,32819.46493671878,35,1832.0,854.3587519370266,0.46635303053331145,46.63530305333114
ceacce0,da569da,MuScaRi_Area,Area only,ac733d9bd2f6,2,4,69619.01628614723,782531.9648156572,207420.5103674639,36,2297.8888888888887,1172.045308008747,0.5100530811894359,51.005308118943596
ceacce0,da569da,MuScaRi_Area,Area only,ac733d9bd2f6,3,0,34.88949903172141,389.58643402739835,147.27817355026383,36,719.3611111111111,256.4084368127887,0.3564391136139473,35.64391136139473
ceacce0,da569da,MuScaRi_Area,Area only,ac733d9bd2f6,3,1,393.71516676538124,5044.166239992103,1245.4932965571754,35,1077.3428571428572,503.29284048083053,0.46716125432490174,46.71612543249017
ceacce0,da569da,MuScaRi_Area,Area only,ac733d9bd2f6,3,2,5592.307825066546,19810.215511983595,11336.636571217578,36,1902.888888888889,919.7398083194763,0.4833386824054237,48.33386824054237
ceacce0,da569da,MuScaRi_Area,Area only,ac733d9bd2f6,3,3,20016.084736488418,65890.03662361103,32819.46493671878,35,1832.0,831.4535364981554,0.4538501836780323,45.385018367803234
ceacce0,da569da,MuScaRi_Area,Area only,ac733d9bd2f6,3,4,69619.01628614723,782531.9648156572,207420.5103674639,36,2297.8888888888887,1201.0163944501664,0.5226607780112905,52.26607780112905
ceacce0,da569da,MuScaRi_Area,Area only,ac733d9bd2f6,4,0,34.88949903172141,389.58643402739835,147.27817355026383,36,719.3611111111111,256.1897848988031,0.35613516068876366,35.613516068876365
ceacce0,da569da,MuScaRi_Area,Area only,ac733d9bd2f6,4,1,393.71516676538124,5044.166239992103,1245.4932965571754,35,1077.3428571428572,498.2893062302541,0.4625169257182723,46.25169257182723
ceacce0,da569da,MuScaRi_Area,Area only,ac733d9bd2f6,4,2,5592.307825066546,19810.215511983595,11336.636571217578,36,1902.888888888889,910.7146393879639,0.4785958048868197,47.85958048868197
ceacce0,da569da,MuScaRi_Area,Area only,ac733d9bd2f6,4,3,20016.084736488418,65890.03662361103,32819.46493671878,35,1832.0,848.2717173636325,0.46303041340809636,46.303041340809635
ceacce0,da569da,MuScaRi_Area,Area only,ac733d9bd2f6,4,4,69619.01628614723,782531.9648156572,207420.5103674639,36,2297.8888888888887,1245.2406712909328,0.5419063895178374,54.19063895178375
ceacce0,da569da,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,0,0,34.88949903172141,389.58643402739835,147.27817355026383,36,719.3611111111111,248.04763871574664,0.3448165808304776,34.48165808304776
ceacce0,da569da,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,0,1,393.71516676538124,5044.166239992103,1245.4932965571754,35,1077.3428571428572,269.5988188688524,0.25024421620414866,25.024421620414866
ceacce0,da569da,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,0,2,5592.307825066546,19810.215511983595,11336.636571217578,36,1902.888888888889,452.7250969323189,0.23791462527098386,23.791462527098385
ceacce0,da569da,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,0,3,20016.084736488418,65890.03662361103,32819.46493671878,35,1832.0,516.8867559045441,0.2821434257120874,28.21434257120874
