experiment,fold,train_frac,n_train_samples,interp_r2,interp_d2,interp_rmse,interp_mape,interp_mean_relative_bias,interp_median_relative_bias,extrap_r2,extrap_d2,extrap_rmse,extrap_mape,extrap_mean_relative_bias,extrap_median_relative_bias,interp_bias_slope_log_area,extrap_bias_slope_log_area,architecture_variant,effort_transform,asymptote_transform,feature_set,model_family,n_epochs,batch_size
current_abs,0,1.0,213363,0.9889192943948442,0.8605723210953704,44.82356183831419,0.4724343517106695,0.12969643312032647,-0.008217828872894309,0.56065472879762,0.3294974993562121,584.5512200267083,0.34785126119705967,-0.11999286959321058,-0.24449231565313725,-0.012546602203887132,0.02324513083757387,current_abs,absolute,identity,env_area,MuScaRi,500,1024
current_abs,1,1.0,208808,0.9890791852530146,0.8603068674154358,46.12253251440409,0.5906160041549098,0.374293357542781,0.04469162661854814,0.5373159449994107,0.3167425307181021,599.8765134753211,0.3499292984164885,-0.16616692648262205,-0.26559091473903773,-0.0652615914898251,0.03132312109765538,current_abs,absolute,identity,env_area,MuScaRi,500,1024
current_abs,2,1.0,201540,0.9881927315420493,0.8522272446213223,44.96676613503682,0.4870720311027122,0.22363821717736534,0.02339344513721955,0.531140645729123,0.31807095157679377,603.8664290132193,0.342417686553408,-0.15922594367764692,-0.25188098277049453,-0.03849627217162669,0.027616060909699407,current_abs,absolute,identity,env_area,MuScaRi,500,1024
current_abs,3,1.0,209569,0.9879530378397159,0.85487222333454,46.47563613260322,0.46992445200967303,0.11250195325186492,-0.00933863183228884,0.5353218191826229,0.33260383319377473,601.1678351957515,0.33799716973212063,-0.09350434221497991,-0.21094240241613593,-0.01938046306776421,0.001198826249677551,current_abs,absolute,identity,env_area,MuScaRi,500,1024
current_abs,4,1.0,211036,0.9884576924829089,0.8579323390690179,47.18382348785039,0.6547630721003423,0.5058205860553612,0.06359045455270348,0.6377527548089383,0.35633193759672155,530.7892762214323,0.48457195898075284,0.3040410071588675,0.04388671681095545,-0.07768480393430754,-0.07771171210483578,current_abs,absolute,identity,env_area,MuScaRi,500,1024
current_rel,0,1.0,213363,0.98904130645025,0.8603465082794614,44.576097746400784,0.5151622632800873,0.1899885296254407,0.005262343910335588,0.5702666610473763,0.3444625082803846,578.1214949090737,0.3679093984440211,-0.048039276180463955,-0.21144639073889449,-0.030848710740447125,0.03104480617874202,current_rel,relative,identity,env_area,MuScaRi,500,1024
current_rel,1,1.0,208808,0.9894245490581073,0.8629494875204334,45.387375759887526,0.5850985017854897,0.29413231676767515,0.023391459362364503,0.5495946298258114,0.34082181071989004,591.8632465944459,0.35461066228161275,-0.07396311620482726,-0.19989172037651473,-0.053587812032274015,0.011997344361755475,current_rel,relative,identity,env_area,MuScaRi,500,1024
current_rel,2,1.0,201540,0.987289025876921,0.8472637622683724,46.65587664347841,0.49142612848109846,0.15692409747906788,0.015141200352381994,0.6024524568448446,0.37850280065532504,556.0503657609675,0.3542195880457325,0.025607090842688682,-0.1272036968610443,-0.013657293253836534,-0.0014071136244534065,current_rel,relative,identity,env_area,MuScaRi,500,1024
current_rel,3,1.0,209569,0.9862985450829703,0.8460268342614052,49.5644067988312,0.551384907504692,0.2988457278483349,0.04419972829937102,0.5881670704898447,0.36968920243562253,565.9526925745014,0.37382150643047396,0.059980893752445315,-0.10750124389371485,-0.04021051428597484,0.0027252537654947695,current_rel,relative,identity,env_area,MuScaRi,500,1024
current_rel,4,1.0,211036,0.9889387687150989,0.862137577811126,46.19006216679845,0.5393864165755279,0.10733385687469325,-0.023598267311273617,0.6365597598735282,0.3657626494485062,531.6625864088472,0.40415192543686423,0.07952278148383124,-0.1294776873537791,-0.032854622673886995,0.004803616886820208,current_rel,relative,identity,env_area,MuScaRi,500,1024
exp_abs,0,1.0,213363,0.9892487472493029,0.8622077128958177,44.15218408122351,0.5251456372367853,0.3102327461365336,0.02495109916394921,0.45531791659504584,0.2047378166457855,650.8653296045758,0.4566984816417405,-0.2971579771351964,-0.3560057310964469,-0.046763945751919014,0.09140858357129651,exp_abs,absolute,exp,env_area,MuScaRi,500,1024
exp_abs,1,1.0,208808,0.9881985555747076,0.8566402288972054,47.946091342333084,0.5523808021188856,0.2512537531851204,0.012063009974664462,0.5261104337762244,0.27506591131012215,607.0971100287716,0.4190782554128806,-0.2023358498148898,-0.32658849048607946,-0.06822386454531333,0.08182453365467213,exp_abs,absolute,exp,env_area,MuScaRi,500,1024
exp_abs,2,1.0,201540,-0.3766648603167615,-0.19101413106426213,485.54674862595687,0.9999997606039728,-0.9999997606039728,-0.9999998910277159,-3.1577646650122526,-1.2240719298022342,1798.2478339498687,0.9999999906581453,-0.9999999906581453,-0.9999999929393196,-3.1926293248052806e-08,1.2541987574572494e-10,exp_abs,absolute,exp,env_area,MuScaRi,500,1024
exp_abs,3,1.0,209569,0.9884808596946008,0.8588366481181471,45.4460983300633,0.45984174616182744,0.167937945624245,0.0032600267227990923,0.4950816226400857,0.2547875541603246,626.6574177842095,0.4035882627255743,-0.2307385873480992,-0.333167028073755,-0.03407601712221045,0.06020788649376718,exp_abs,absolute,exp,env_area,MuScaRi,500,1024
