dataset_id,gift_dataset_id,model_name,config_hash,run_dir,prediction_mode,observed_area_policy,aggregation,fold,n_samples,feature_count,feature_names,architecture_variant,layer_sizes,effort_transform,asymptote_transform,weibull_parameterization,target_transform,sr_mean,sr_median,pred_mean,pred_median,bias_slope_log_area,r2,d2,rmse,mape,mean_relative_bias,median_relative_bias,log1p_r2,log1p_d2,log1p_rmse,log1p_mae,nrmse
ceacce0,da569da,MuScaRi_Area,ac733d9bd2f6,scripts/results/benchmark/artifacts/MuScaRi_Area/ac733d9bd2f6,finite_full_area,observed_area_set_to_sp_unit_area,fold_member,0.0,178,1,log_sp_unit_area,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1277.9621257996291,1148.8201904296875,0.0834057149670395,0.242507154101545,0.1553625261803368,767.5538611553661,0.4592538410486496,-0.0023527423034924,-0.2214151963253683,0.2800039175896606,0.1773712043489486,0.5194430154681368,0.4125815161245872,0.48977812414198557
ceacce0,da569da,MuScaRi_Area,ac733d9bd2f6,scripts/results/benchmark/artifacts/MuScaRi_Area/ac733d9bd2f6,finite_full_area,observed_area_set_to_sp_unit_area,fold_member,1.0,178,1,log_sp_unit_area,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1306.7535679849343,1109.6010131835938,0.0963002799853189,0.1205507378627619,0.1030218080836209,827.0370913044457,0.4826687521269017,0.0057660755661667,-0.2372300925811277,0.2062017845162875,0.130920267993932,0.5454160370087712,0.4358785339874155,0.5277345287081338
ceacce0,da569da,MuScaRi_Area,ac733d9bd2f6,scripts/results/benchmark/artifacts/MuScaRi_Area/ac733d9bd2f6,finite_full_area,observed_area_set_to_sp_unit_area,fold_member,2.0,178,1,log_sp_unit_area,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1279.516790840063,1080.2933959960938,0.0850547771523107,0.1406568447962556,0.1081812056006027,817.528504548406,0.4717340300442014,-0.0110651418349847,-0.2319452020260948,0.2178781204059363,0.1313191508882401,0.5413897909773996,0.4356784781297069,0.52166707465663
ceacce0,da569da,MuScaRi_Area,ac733d9bd2f6,scripts/results/benchmark/artifacts/MuScaRi_Area/ac733d9bd2f6,finite_full_area,observed_area_set_to_sp_unit_area,fold_member,3.0,178,1,log_sp_unit_area,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1333.156345667464,1093.4283447265625,0.0995057846798978,0.1490312569044597,0.1218781532689554,813.5352907139634,0.4843203715850945,0.0302995392771994,-0.2134177483607942,0.2311788807143041,0.1558044575295607,0.5367666153915266,0.4233981094017239,0.5191189944760585
ceacce0,da569da,MuScaRi_Area,ac733d9bd2f6,scripts/results/benchmark/artifacts/MuScaRi_Area/ac733d9bd2f6,finite_full_area,observed_area_set_to_sp_unit_area,fold_member,4.0,178,1,log_sp_unit_area,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1314.0221624481544,1127.8636474609375,0.0952136462620711,0.119344359137876,0.1056993557248344,827.6041382479779,0.4776317639819348,0.0090479774212719,-0.2185571362208531,0.2361869093475432,0.1467799587653626,0.5350155354558208,0.4279242594733981,0.5280963628442888
ceacce0,da569da,MuScaRi_Area,ac733d9bd2f6,scripts/results/benchmark/artifacts/MuScaRi_Area/ac733d9bd2f6,finite_full_area,observed_area_set_to_sp_unit_area,uniform_ensemble,,178,1,log_sp_unit_area,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1302.282198548049,1112.001318359375,0.0918960406093276,0.1610577725689392,0.1231608834493555,807.7660952513098,0.4742021602474287,0.0063391416252322,-0.2260945293347978,0.2365023800650203,0.1504014458290691,0.534905037764638,0.42610793766304,0.5154376557785323
ceacce0,da569da,MuScaRi_Area,ac733d9bd2f6,scripts/results/benchmark/artifacts/MuScaRi_Area/ac733d9bd2f6,asymptotic_total,observed_area_set_to_sp_unit_area,fold_member,0.0,178,1,log_sp_unit_area,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1277.9635887574614,1148.8201904296875,0.0834038946786182,0.2425075015991548,0.1553635921446641,767.5536850988104,0.4592527340872538,-0.0023501826994759,-0.2214151214899913,0.2800068127910451,0.1773744504790525,0.5194419710918644,0.4125798880594297,0.48977801179983743
ceacce0,da569da,MuScaRi_Area,ac733d9bd2f6,scripts/results/benchmark/artifacts/MuScaRi_Area/ac733d9bd2f6,asymptotic_total,observed_area_set_to_sp_unit_area,fold_member,1.0,178,1,log_sp_unit_area,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1306.7690767438223,1109.6010131835938,0.0962821593111327,0.120550103833517,0.1030303221725811,827.0373894260262,0.4826593880242311,0.0057926694814911,-0.2372299761018219,0.2062175188564307,0.130947164845673,0.5454106314763545,0.4358650441315669,0.5277347189402931
ceacce0,da569da,MuScaRi_Area,ac733d9bd2f6,scripts/results/benchmark/artifacts/MuScaRi_Area/ac733d9bd2f6,asymptotic_total,observed_area_set_to_sp_unit_area,fold_member,2.0,178,1,log_sp_unit_area,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1279.5299644898832,1080.2933959960938,0.0850391807100113,0.1406566686639189,0.1081839983736104,817.5285883293715,0.4717326445593896,-0.011042311370936,-0.2319449355773826,0.217886096648328,0.1313280650194062,0.5413870303672418,0.4356740073334366,0.521667128117483
ceacce0,da569da,MuScaRi_Area,ac733d9bd2f6,scripts/results/benchmark/artifacts/MuScaRi_Area/ac733d9bd2f6,asymptotic_total,observed_area_set_to_sp_unit_area,fold_member,3.0,178,1,log_sp_unit_area,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1333.1618343739028,1093.4283447265625,0.0995060734188861,0.14901649568634,0.1218716981140596,813.5423466251793,0.4843213565531925,0.0303021108947649,-0.2134177483607942,0.2311781835553819,0.1558038304128701,0.5367668587586382,0.4233984239260346,0.51912349687144
ceacce0,da569da,MuScaRi_Area,ac733d9bd2f6,scripts/results/benchmark/artifacts/MuScaRi_Area/ac733d9bd2f6,asymptotic_total,observed_area_set_to_sp_unit_area,fold_member,4.0,178,1,log_sp_unit_area,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1314.0257763809032,1127.8636474609375,0.0952143044434472,0.1193341005977878,0.105694503774447,827.6089585120578,0.4776328919422958,0.0090493820617425,-0.2185571942666508,0.2361856398063654,0.1467785791796132,0.5350159800829025,0.4279249513912876,0.5280994386673918
ceacce0,da569da,MuScaRi_Area,ac733d9bd2f6,scripts/results/benchmark/artifacts/MuScaRi_Area/ac733d9bd2f6,asymptotic_total,observed_area_set_to_sp_unit_area,uniform_ensemble,,178,1,log_sp_unit_area,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1302.2900481491947,1112.001318359375,0.0918891225124191,0.1610536570597996,0.1231629010198188,807.7680765347415,0.4741987174342166,0.0063503336735173,-0.2260944455755878,0.2365097055305092,0.1504122245221595,0.5349024716546131,0.4261025317137704,0.5154389200406664
ceacce0,da569da,MuScaRi_ClimateDEM,dae0789a3c87,scripts/results/benchmark/artifacts/MuScaRi_ClimateDEM/dae0789a3c87,finite_full_area,observed_area_set_to_sp_unit_area,fold_member,0.0,178,10,bio1;pet_penman_mean;sfcWind_mean;bio12;std_bio1;std_pet_penman_mean;std_sfcWind_mean;std_bio12;elevation;std_elevation,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1539.8984534445774,1406.2608642578125,-0.0038703016738973,0.7834428414905178,0.5614452191739836,410.3985948534448,0.2843528742684471,0.1144349006309008,-0.016247130999721,0.7123802158252781,0.5536773310562237,0.3283085721866977,0.2238488178472507,0.2618764155980713
ceacce0,da569da,MuScaRi_ClimateDEM,dae0789a3c87,scripts/results/benchmark/artifacts/MuScaRi_ClimateDEM/dae0789a3c87,finite_full_area,observed_area_set_to_sp_unit_area,fold_member,1.0,178,10,bio1;pet_penman_mean;sfcWind_mean;bio12;std_bio1;std_pet_penman_mean;std_sfcWind_mean;std_bio12;elevation;std_elevation,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1686.2802917823362,1570.90673828125,-0.0587974346067534,0.7025428205607753,0.4708437926307869,480.9853190401683,0.4008698230313672,0.2859771620106682,0.0772609214143746,0.5517104286743604,0.4402130072723657,0.4098756914134071,0.2807557520322447,0.30691798871902676
ceacce0,da569da,MuScaRi_ClimateDEM,dae0789a3c87,scripts/results/benchmark/artifacts/MuScaRi_ClimateDEM/dae0789a3c87,finite_full_area,observed_area_set_to_sp_unit_area,fold_member,2.0,178,10,bio1;pet_penman_mean;sfcWind_mean;bio12;std_bio1;std_pet_penman_mean;std_sfcWind_mean;std_bio12;elevation;std_elevation,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1620.7712649227528,1516.7689819335938,-0.0222634384849481,0.7832901063001777,0.548960487549669,410.5432939701948,0.3415241289382827,0.224471315331465,0.0751424035905264,0.6537032200541226,0.5174139350556002,0.3602442610974025,0.2420363733775948,0.2619687484825155
ceacce0,da569da,MuScaRi_ClimateDEM,dae0789a3c87,scripts/results/benchmark/artifacts/MuScaRi_ClimateDEM/dae0789a3c87,finite_full_area,observed_area_set_to_sp_unit_area,fold_member,3.0,178,10,bio1;pet_penman_mean;sfcWind_mean;bio12;std_bio1;std_pet_penman_mean;std_sfcWind_mean;std_bio12;elevation;std_elevation,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1601.68216165264,1464.576416015625,-0.036001882519666,0.7657870420138624,0.5160598523733277,426.800630665188,0.3501893842499793,0.2066335393338409,0.0325728556232953,0.6396700077553952,0.4863314132611934,0.3674709824878874,0.2576255115583978,0.2723425975020916
ceacce0,da569da,MuScaRi_ClimateDEM,dae0789a3c87,scripts/results/benchmark/artifacts/MuScaRi_ClimateDEM/dae0789a3c87,finite_full_area,observed_area_set_to_sp_unit_area,fold_member,4.0,178,10,bio1;pet_penman_mean;sfcWind_mean;bio12;std_bio1;std_pet_penman_mean;std_sfcWind_mean;std_bio12;elevation;std_elevation,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1762.9346212322791,1700.6267700195312,-0.0600140096451912,0.5888831841881137,0.3951322599582061,565.4604226638988,0.4497749642703739,0.3432252827179474,0.0851032837079164,0.4865381765025195,0.393557071703299,0.4386588783023113,0.3041555852681601,0.3608217730440147
ceacce0,da569da,MuScaRi_ClimateDEM,dae0789a3c87,scripts/results/benchmark/artifacts/MuScaRi_ClimateDEM/dae0789a3c87,finite_full_area,observed_area_set_to_sp_unit_area,uniform_ensemble,,178,10,bio1;pet_penman_mean;sfcWind_mean;bio12;std_bio1;std_pet_penman_mean;std_sfcWind_mean;std_bio12;elevation;std_elevation,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1642.313358606917,1552.330163574219,-0.0361894133860912,0.7865865230439287,0.5472130505979966,407.4089015029075,0.3406365438805368,0.2349484400049644,0.0627289978674417,0.6553060040045926,0.5150096020643049,0.3594096253173919,0.2432422433350546,0.25996868446011334
ceacce0,da569da,MuScaRi_ClimateDEM,dae0789a3c87,scripts/results/benchmark/artifacts/MuScaRi_ClimateDEM/dae0789a3c87,asymptotic_total,observed_area_set_to_sp_unit_area,fold_member,0.0,178,10,bio1;pet_penman_mean;sfcWind_mean;bio12;std_bio1;std_pet_penman_mean;std_sfcWind_mean;std_bio12;elevation;std_elevation,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1542.4218211656207,1406.2636108398438,-0.006360188982725,0.7822599171532632,0.5589357398726955,411.5179513637101,0.2875191867447061,0.1186162069143141,-0.0138693947821476,0.7090950987961322,0.5491220483946153,0.3301781756120821,0.2261334758082148,0.2625906799117425
ceacce0,da569da,MuScaRi_ClimateDEM,dae0789a3c87,scripts/results/benchmark/artifacts/MuScaRi_ClimateDEM/dae0789a3c87,asymptotic_total,observed_area_set_to_sp_unit_area,fold_member,1.0,178,10,bio1;pet_penman_mean;sfcWind_mean;bio12;std_bio1;std_pet_penman_mean;std_sfcWind_mean;std_bio12;elevation;std_elevation,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1688.724800709928,1570.9503173828125,-0.0612805447276489,0.6982324630890122,0.4674221534694939,484.45768774931526,0.4049859691511667,0.290131845247461,0.0773326989401533,0.5441513955103444,0.4364455749290796,0.413316895962616,0.2826452712860164,0.3091337162643685
